"country","year","bank_per_area","bank_per_adults","num_branches","num_depositors"
"Ghana","2004","1.670036","3.03808","360","0"
"Nigeria","2004","3.931838","4.697844","3492","0"
"South Africa","2004","1.255472","4.694278","1486","0"
"Uganda","2004","0.775737","1.149802","140","0.9084286"
"Zambia","2004","0.2502051","3.034303","173","0.1277001"
"Zimbabwe","2004","0.5247512","2.881035","192","5.18421"
"Ghana","2005","1.815065","3.201645","392","1.766211"
"Nigeria","2005","3.587075","4.176641","3242","0"
"South Africa","2005","1.910823","7.004192","2282","0"
"Uganda","2005","0.8407988","1.205651","153","1.007119"
"Zambia","2005","0.2461696","2.91307","170","0.1643385"
"Zimbabwe","2005","0.7160398","3.910578","264","5.183465"
"Ghana","2006","2.08315","3.561475","450","2.066554"
"Nigeria","2006","3.325757","3.781089","3004","0"
"South Africa","2006","2.007271","7.225981","2400","0"
"Uganda","2006","0.875832","1.215596","160","1.159706"
"Zambia","2006","0.2569311","2.968994","178","0.2198004"
"Zimbabwe","2006","0.6772651","3.666612","248","5.142222"
"Ghana","2007","2.720401","4.508618","595","2.17529"
"Nigeria","2007","4.697124","5.209874","4254","2.961669"
"South Africa","2007","1.662696","5.884099","1982","0"
"Uganda","2007","1.050998","1.41084","194","1.130908"
"Zambia","2007","0.2892156","3.258969","202","0.2462705"
"Zimbabwe","2007","0.7625695","4.093115","281","2.006473"
"Ghana","2008","2.926958","4.703685","640","2.440139"
"Nigeria","2008","5.796194","6.268001","5255","3.118539"
"South Africa","2008","2.205113","7.676374","2641","0"
"Uganda","2008","1.606526","2.084472","301","1.566877"
"Zambia","2008","0.3309165","3.631237","228","0.2731502"
"Zimbabwe","2008","0.6410754","3.410755","234","2.181422"
"Ghana","2009","3.221412","5.021157","706","2.678111"
"Nigeria","2009","6.150839","6.482246","5578","4.644797"
"South Africa","2009","2.647784","9.067418","3180","0"
"Uganda","2009","1.92683","2.415248","364","1.75432"
"Zambia","2009","0.3578203","3.818694","248","0.2686853"
"Zimbabwe","2009","0.8607988","4.536879","317","0.9397716"
"Ghana","2010","3.489496","5.277648","768","2.785231"
"Nigeria","2010","6.393491","6.564383","5799","4.726493"
"South Africa","2010","2.900032","9.76679","3486","0"
"Uganda","2010","2.074606","2.519938","394","1.943392"
"Zambia","2010","0.3820337","3.959934","266","1.330677"
"Zimbabwe","2010","0.9202533","4.801579","340","1.674026"
"Ghana","2011","3.594972","5.289297","790","3.405767"
"Nigeria","2011","6.401177","6.408769","5810","5.046136"
